File: ../Images/blackbuck.bmp, Width: 512, Height: 512
Detected Features: 463
FastHessian: 128.50, 129.25, 129.78, 130.68, 131.42, 131.55, 130.08, 129.59, 129.45, 127.58, 128.51, 129.78, 129.99, 129.18, 131.13, 129.77, 129.35, 129.75, 129.21, 129.44
SurfDescriptor: 781.36, 780.17, 781.59, 782.22, 779.65, 779.56, 778.28, 777.97, 781.03, 780.27, 781.37, 783.34, 780.51, 781.36, 782.25, 781.49, 782.16, 782.25, 782.91, 780.71
File: ../Images/img2.bmp, Width: 300, Height: 414
Detected Features: 408
Cumulative Time: 490.60, 485.63, 487.38, 487.08, 468.46, 466.71, 466.17, 465.80, 465.56, 464.88, 465.61, 464.56, 466.69, 464.47, 465.97, 465.53, 467.62, 466.65, 466.57, 469.43
IntegralImage: 2.73, 2.61, 3.30, 2.71, 2.46, 2.89, 2.69, 2.63, 2.89, 2.57, 2.96, 2.47, 2.90, 2.68, 2.74, 2.81, 2.79, 2.64, 2.96, 2.62
FastHessian: 54.82, 54.59, 54.24, 54.17, 53.72, 53.46, 53.71, 53.63, 54.01, 53.68, 53.41, 54.45, 53.52, 54.54, 53.80, 53.60, 54.35, 53.60, 54.00, 53.52
SurfDescriptor: 409.61, 410.58, 409.56, 409.38, 411.61, 410.60, 410.46, 409.60, 410.41, 408.54, 410.06, 409.23, 409.66, 409.60, 409.39, 409.36, 408.08, 409.90, 407.89, 408.18
File: ../Images/lena.bmp, Width: 512, Height: 512
Detected Features: 583
Cumulative Time: 746.00, 720.24, 724.98, 725.49, 723.60, 725.56, 727.32, 727.44, 728.20, 725.14, 722.46, 726.51, 727.02, 723.74, 724.88, 723.27, 721.45, 719.68, 720.52, 722.16
IntegralImage: 6.11, 5.85, 6.00, 5.66, 6.00, 6.16, 5.99, 5.90, 5.87, 6.15, 6.10, 5.83, 6.12, 5.69, 5.76, 5.89, 5.81, 5.81, 6.08, 5.93
FastHessian: 119.03, 118.88, 116.72, 118.24, 116.62, 117.51, 117.08, 117.55, 118.05, 118.41, 117.98, 118.69, 117.83, 116.46, 117.74, 116.44, 117.11, 116.79, 117.25, 114.94
SurfDescriptor: 594.19, 594.16, 594.20, 595.27, 593.99, 594.33, 596.03, 594.91, 596.30, 596.28, 595.85, 593.71, 593.32, 589.86, 589.70, 590.41, 588.66, 587.34, 587.77, 590.84
